Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2023-12-20,58276.3515625,68100.0,68200.0,67000.0,67000.0,2623900,1.0
2023-12-21,58019.6171875,67800.0,68300.0,67800.0,67900.0,2875900,1.0
2023-12-22,57848.47265625,67600.0,68100.0,67500.0,67800.0,2620700,1.0
2023-12-25,58105.19921875,67900.0,68700.0,67600.0,67600.0,3128279,3.0
2023-12-26,58190.7734375,68000.0,68500.0,68000.0,68300.0,1975400,1.0
2023-12-27,58190.7734375,67500.0,68200.0,67500.0,68000.0,1736400,1.0
2023-12-28,59052.85546875,68500.0,68500.0,67500.0,67500.0,2873700,1.0
2023-12-29,58276.98046875,67600.0,68700.0,67600.0,68700.0,2257800,1.0
2024-01-02,58880.44140625,68300.0,68500.0,67900.0,68200.0,2142800,4.0
2024-01-03,59483.90234375,69000.0,69000.0,68000.0,68400.0,1979801,1.0
2024-01-04,59483.90234375,69000.0,69500.0,69000.0,69100.0,3401500,1.0
2024-01-05,59311.484375,68800.0,69300.0,68500.0,69300.0,1775700,1.0
2024-01-08,58794.23046875,68200.0,69100.0,68200.0,69000.0,2396400,3.0
2024-01-09,58708.02734375,68100.0,68500.0,68000.0,68200.0,2579400,1.0
2024-01-10,58190.7734375,67500.0,68100.0,67400.0,68100.0,3006600,1.0
2024-01-11,58535.609375,67900.0,68500.0,67500.0,67500.0,2083900,1.0
2024-01-12,57932.14453125,67200.0,67900.0,67000.0,67600.0,3283000,1.0
2024-01-15,57759.73046875,67000.0,67500.0,67000.0,67200.0,2336501,3.0
2024-01-16,58104.5703125,67400.0,67400.0,66700.0,67000.0,2072400,1.0
2024-01-17,57845.9375,67100.0,67900.0,67000.0,67500.0,1916400,1.0
2024-01-19,58621.81640625,68000.0,68600.0,67400.0,67400.0,2809300,2.0
2024-01-22,58880.44140625,68300.0,68700.0,68000.0,68000.0,1959800,3.0
2024-01-23,58363.1875,67700.0,68300.0,67600.0,68300.0,2252000,1.0
2024-01-24,58018.359375,67300.0,68000.0,67200.0,67800.0,2083500,1.0
2024-01-25,57673.51953125,66900.0,67500.0,66900.0,67400.0,2800500,1.0
2024-01-26,57759.73046875,67000.0,67500.0,67000.0,67000.0,1675800,1.0
2024-01-29,57759.73046875,67000.0,67300.0,66900.0,67100.0,2153800,3.0
2024-01-30,57673.51953125,66900.0,67300.0,66900.0,67300.0,1840400,1.0
2024-01-31,57759.73046875,67000.0,68200.0,66900.0,67200.0,4441100,1.0
2024-02-01,58190.7734375,67500.0,67800.0,67200.0,67200.0,2549300,1.0
2024-02-02,58104.5703125,67400.0,67700.0,67000.0,67500.0,2677300,1.0
2024-02-05,58621.81640625,68000.0,68200.0,67200.0,67400.0,3565900,3.0
2024-02-06,58276.98046875,67600.0,68200.0,67600.0,68100.0,2463800,1.0
2024-02-07,58276.98046875,67600.0,67900.0,67200.0,67600.0,2736300,1.0
2024-02-15,58276.98046875,67600.0,68000.0,67200.0,67600.0,4115500,8.0
2024-02-16,60345.98828125,70000.0,70300.0,67500.0,67800.0,11114600,1.0
2024-02-19,61983.953125,71900.0,72600.0,70700.0,70900.0,7144500,3.0
2024-02-20,61639.1171875,71500.0,72400.0,71300.0,71700.0,4435700,1.0
2024-02-21,61466.703125,71300.0,71900.0,71000.0,71500.0,3590200,1.0
2024-02-22,61725.3203125,71600.0,72700.0,71100.0,71300.0,4698100,1.0
2024-02-23,61208.078125,71000.0,72700.0,71000.0,71800.0,6142500,1.0
2024-02-26,61208.078125,71000.0,71700.0,70700.0,71000.0,3138400,3.0
2024-02-27,62070.16015625,72000.0,72400.0,71100.0,71200.0,5282500,1.0
2024-02-28,62242.56640625,72200.0,72600.0,71500.0,72400.0,3509000,1.0
